OBJECTID,NAME,NBR,STREETADDR,CITY,ZIP,TYPE,GCSCORE,GCMETHOD,DAFID,POINT_X,POINT_Y,x,y
2434,QUEEN BEE GIFTERY,,270 25TH ST,OGDEN,84401,Retail,100,AddressPoints.AddressGrid,R108422,418358.732534794,4563731.43704212,418358.7325,4563731.437
2435,ISLES OF THE SEA MART,,1269 W 500 N,SALT LAKE CITY,84116,Specialty Grocery,100,AddressPoints.AddressGrid,R108441,421721.855605865,4514739.1872644,421721.8556,4514739.1873
2436,GOOD EARTH NATURAL FOODS,,863 N 700 E,SPANISH FORK,84660,Grocery Store,100,Centerlines.StatewideRoads,R108660,445218.019996591,4441360.52629691,445218.02,4441360.5263
2437,WALMART MARKET,7043,1202 W 12600 S,RIVERTON,84065,Supermarket,100,AddressPoints.AddressGrid,R108661,421554.804171978,4486238.18558363,421554.8042,4486238.1856
2438,WAL-MART,7168,5056 W 13400 S,HERRIMAN,84096,Supermarket,100,AddressPoints.AddressGrid,R108751,414310.084619603,4484731.74334646,414310.0846,4484731.7433
2439,RC GROUP DBA YUMMYS SUSHI,,245 W HWY 40,ROOSEVELT,84066,Specialty Grocery,100,Centerlines.StatewideRoads,R108757,585346.489974375,4460514.94492873,585346.49,4460514.9449
2440,CITY CORNER,,631 W N TEMPLE STE 500,SALT LAKE CITY,84116,Convenience Grocery,90.9199981689453,AddressPoints.AddressGrid,R108770,423316.14637606,4513728.3792111,423316.1464,4513728.3792
2441,FAMILY DOLLAR INC,31320,425 E MIDVALLEY RD,ENOCH,84721,Convenience Grocery,100,AddressPoints.AddressGrid,R108784,319024.734722054,4181742.4244072,319024.7347,4181742.4244
2442,GNC,6104,166 N CENTRAL AVE,FARMINGTON,84025,Health Food,100,AddressPoints.AddressGrid,R108831,423799.612633155,4537316.46908481,423799.6126,4537316.4691
2443,SPROUTS FARMERS MARKET,605,11519 S 4000 W,SOUTH JORDAN,84095,Grocery Store,100,AddressPoints.AddressGrid,R108881,416580.37054757,4488313.06769458,416580.3705,4488313.0677
2444,FAMILY DOLLAR INC,31290,590 N MAIN ST,PAROWAN,84761,Convenience Grocery,100,AddressPoints.AddressGrid,R108884,339228.894926818,4190960.49210042,339228.8949,4190960.4921
2445,DOLLAR TREE,5822,2332 E FORT UNION BLVD STE A,COTTONWOOD HEIGHTS,84121,Convenience Grocery,100,AddressPoints.AddressGrid,R108960,430293.972061169,4497141.98448523,430293.9721,4497141.9845
